Name,ticker
Bitcoin,BTC-USD
Ethereum,ETH-USD
Tether USDt,USDT-USD
XRP,XRP-USD
BNB,BNB-USD
Solana,SOL-USD
USDC,USDC-USD
Dogecoin,DOGE-USD
Cardano,ADA-USD
TRON,TRX-USD
UNUS SED LEO,LEO-USD
Toncoin,TON-USD
Chainlink,LINK-USD
Stellar,XLM-USD
Avalanche,AVAX-USD
Sui,SUI-USD
Shiba Inu,SHIB-USD
Hedera,HBAR-USD
Litecoin,LTC-USD
Polkadot,DOT-USD
MANTRA,OM-USD
Bitcoin Cash,BCH-USD
Bitget Token,BGB-USD
Dai,DAI-USD
Ethena USDe,USDe-USD
Monero,XMR-USD
Hyperliquid,HYPE-USD
Uniswap,UNI-USD
Pi,PI-USD
NEAR Protocol,NEAR-USD
Aptos,APT-USD
OKB,OKB-USD
Ondo,ONDO-USD
Cronos,CRO-USD
Internet Computer,ICP-USD
Ethereum Classic,ETC-USD
Aave,AAVE-USD
First Digital USD,FDUSD-USD
Cosmos,ATOM-USD
VeChain,VET-USD
GateToken,GT-USD
OFFICIAL TRUMP,TRUMP-USD
Filecoin,FIL-USD
Kaspa,KAS-USD
Render,RENDER-USD
Ethena,ENA-USD
